start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.022822487682024755,1.0228224876820247,102282.24876820247
2018-01-01,2018-02-01,0.019699084600468094,1.0429711543981341,104297.11543981341
2018-02-01,2018-03-01,-0.0019311692520383509,1.0409570005739974,104095.70005739974
2018-03-01,2018-04-01,-0.02114016186190728,1.0189510010905776,101895.10010905776
2018-04-01,2018-05-01,0.02717946318518217,1.0466455423122236,104664.55423122236
2018-05-01,2018-06-01,-0.006914208587646642,1.0394088167153464,103940.88167153462
2018-06-01,2018-07-01,0.01194989811920722,1.0518296461793004,105182.96461793003
2018-07-01,2018-08-01,-0.00026849024883559766,1.0515472401758652,105154.7240175865
2018-08-01,2018-09-01,-5.986004082967612e-05,1.051484294515134,105148.42945151337
2018-09-01,2018-10-01,-0.005101868111163849,1.0461197603235575,104611.97603235573
2018-10-01,2018-11-01,-0.02087285325873461,1.0242842560752612,102428.42560752611
2018-11-01,2018-12-01,-0.0022815775208171758,1.021947272141673,102194.72721416729
2018-12-01,2019-01-01,-0.004324207509808647,1.0175281600728494,101752.81600728494
2019-01-01,2019-02-01,0.008081407523041928,1.0257512198005692,102575.12198005692
2019-02-01,2019-03-01,0.005796375834213981,1.0316968593829365,103169.68593829367
2019-03-01,2019-04-01,0.01280406029146836,1.0449067681729942,104490.67681729943
2019-04-01,2019-05-01,0.010332695802865534,1.055703471950881,105570.34719508812
2019-05-01,2019-06-01,0.006129740706759191,1.0621746604971654,106217.46604971655
2019-06-01,2019-07-01,0.021515042325883794,1.0850273932752432,108502.73932752432
2019-07-01,2019-08-01,0.01122256563340422,1.0972041844103162,109720.41844103161
2019-08-01,2019-09-01,0.0027895181242719915,1.100264855368756,110026.48553687558
2019-09-01,2019-10-01,0.010483604905752302,1.1117995974041268,111179.95974041267
2019-10-01,2019-11-01,0.010529672934864587,1.1235064835339064,112350.64835339061
2019-11-01,2019-12-01,-0.010218747351375998,1.1120256546310405,111202.56546310404
2019-12-01,2020-01-01,0.00480843512496342,1.1173727578486288,111737.27578486285
2020-01-01,2020-02-01,0.005119904340403902,1.123093599481387,112309.35994813869
2020-02-01,2020-03-01,0.017578271476774075,1.1428356436668983,114283.56436668981
2020-03-01,2020-04-01,-0.07671370276606677,1.0551644897881691,105516.4489788169
2020-04-01,2020-05-01,0.023999767485984664,1.0804881922025529,108048.81922025527
2020-05-01,2020-06-01,0.025856300482025432,1.1084256195674225,110842.56195674223
2020-06-01,2020-07-01,0.04108284278939547,1.153962895039849,115396.2895039849
2020-07-01,2020-08-01,0.0178523915986692,1.1745638925324344,117456.38925324344
2020-08-01,2020-09-01,0.001859858253865783,1.1767484148826537,117674.84148826536
2020-09-01,2020-10-01,-0.004212113547560432,1.171791816942256,117179.18169422561
2020-10-01,2020-11-01,0.0038593946053579803,1.1763142239591657,117631.42239591657
2020-11-01,2020-12-01,0.023333202932464523,1.2037614024591494,120376.14024591492
