start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.025113808177062807,1.0251138081770628,102511.38081770627
2018-01-01,2018-02-01,0.058749282194183544,1.085338508574811,108533.85085748111
2018-02-01,2018-03-01,-0.014903310277930175,1.0691633720249347,106916.33720249348
2018-03-01,2018-04-01,-0.012410843431225555,1.055894152812332,105589.41528123322
2018-04-01,2018-05-01,0.019179843333530393,1.0761460372400633,107614.60372400635
2018-05-01,2018-06-01,-0.010580210809904188,1.0647601853038204,106476.01853038205
2018-06-01,2018-07-01,-0.004271490159984668,1.0602120726495519,106021.20726495518
2018-07-01,2018-08-01,-0.03289473725487979,1.0253366750852932,102533.66750852932
2018-08-01,2018-09-01,-0.00282819886881764,1.0224368190606596,102243.68190606598
2018-09-01,2018-10-01,0.0020278956780901075,1.024510214267153,102451.0214267153
2018-10-01,2018-11-01,0.00038277709996554734,1.0249023733158553,102490.23733158554
2018-11-01,2018-12-01,0.002592851250354571,1.0275597927159987,102755.97927159988
2018-12-01,2019-01-01,0.006049081933969468,1.0337755860941904,103377.55860941904
2019-01-01,2019-02-01,0.010320598940951303,1.0444447693132155,104444.47693132155
2019-02-01,2019-03-01,-0.002308775218217655,1.042033381113028,104203.3381113028
2019-03-01,2019-04-01,0.003852463684632024,1.0460477768719403,104604.77768719403
2019-04-01,2019-05-01,0.007533587303436453,1.0539282691225709,105392.82691225708
2019-05-01,2019-06-01,0.018665817144321264,1.0736007014772437,107360.07014772437
2019-06-01,2019-07-01,-0.0012484821932128513,1.0722603301188285,107226.03301188286
2019-07-01,2019-08-01,-0.007777821670228498,1.0639204804871039,106392.0480487104
2019-08-01,2019-09-01,0.012110052786891484,1.0768046136668576,107680.46136668579
2019-09-01,2019-10-01,0.022227609317148015,1.100739405930347,110073.94059303474
2019-10-01,2019-11-01,0.006188738611387527,1.107551594392904,110755.15943929042
2019-11-01,2019-12-01,-0.005332498808235368,1.1016455768357445,110164.55768357449
2019-12-01,2020-01-01,-0.014500088668803927,1.0856716182900306,108567.16182900309
2020-01-01,2020-02-01,-0.008377570039898315,1.076576328267476,107657.63282674763
2020-02-01,2020-03-01,0.014936188806106048,1.0926562755706637,109265.62755706639
2020-03-01,2020-04-01,-0.088198764471117,0.9962853420737189,99628.5342073719
2020-04-01,2020-05-01,0.036450555711582434,1.0326004964396098,103260.049643961
2020-05-01,2020-06-01,-0.01240963616197933,1.019786299978115,101978.62999781153
2020-06-01,2020-07-01,0.0013931546886499014,1.0212070200433505,102120.70200433506
2020-07-01,2020-08-01,-0.0008571263211492576,1.020331716627129,102033.17166271292
2020-08-01,2020-09-01,-0.0012528883895653639,1.0190533548658616,101905.33548658618
2020-09-01,2020-10-01,0.009709026814045237,1.028947371213197,102894.7371213197
2020-10-01,2020-11-01,-0.0026678481472937167,1.026202295875243,102620.22958752431
2020-11-01,2020-12-01,0.005150665201014794,1.031487920329809,103148.79203298091
