start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.002083591885378966,1.002083591885379,100208.3591885379
2018-01-01,2018-02-01,0.00194332707965336,1.0040309680655661,100403.09680655661
2018-02-01,2018-03-01,0.0,1.0040309680655661,100403.09680655661
2018-03-01,2018-04-01,0.0,1.0040309680655661,100403.09680655661
2018-04-01,2018-05-01,0.012315073412876477,1.016395683146095,101639.56831460951
2018-05-01,2018-06-01,0.004609851956299156,1.02108111677442,102108.11167744201
2018-06-01,2018-07-01,-0.002708512804670808,1.018315505495029,101831.5505495029
2018-07-01,2018-08-01,0.014076837576257294,1.0326501674672668,103265.01674672669
2018-08-01,2018-09-01,-0.001659779297169676,1.0309361960980858,103093.6196098086
2018-09-01,2018-10-01,-0.0006009489730152412,1.0303166560497965,103031.66560497966
2018-10-01,2018-11-01,0.0008106144331695092,1.0311518456019253,103115.18456019255
2018-11-01,2018-12-01,0.0010886724197952287,1.0322744321768529,103227.44321768532
2018-12-01,2019-01-01,0.005147564637766947,1.0375881315403974,103758.81315403977
2019-01-01,2019-02-01,0.0024583256171121152,1.0401388610241746,104013.88610241748
2019-02-01,2019-03-01,0.0013980267186606108,1.0415930029430036,104159.30029430038
2019-03-01,2019-04-01,0.0077510199556331105,1.0496664110944627,104966.6411094463
2019-04-01,2019-05-01,0.0046758494528237405,1.0545744932084262,105457.44932084266
2019-05-01,2019-06-01,0.023673142267251042,1.0795395852175635,107953.95852175639
2019-06-01,2019-07-01,0.0010562813246684456,1.0806798827206692,108067.98827206694
2019-07-01,2019-08-01,-0.005251335822553205,1.0750048697398256,107500.48697398258
2019-08-01,2019-09-01,0.007547157762232661,1.0831181010869204,108311.81010869205
2019-09-01,2019-10-01,0.004314241496258488,1.0877909341439782,108779.09341439784
2019-10-01,2019-11-01,0.0059770768457824705,1.0942927441495023,109429.27441495025
2019-11-01,2019-12-01,-0.005194261235658643,1.0886087017681039,108860.87017681042
2019-12-01,2020-01-01,0.001939314356198489,1.0907198562517255,109071.98562517257
2020-01-01,2020-02-01,0.0015329261233236766,1.0923918492126017,109239.18492126018
2020-02-01,2020-03-01,0.01742066237972979,1.111422038804103,111142.20388041032
2020-03-01,2020-04-01,-0.05999428718886081,1.0447430658200605,104474.30658200607
2020-04-01,2020-05-01,0.034502430068408876,1.0807892403879722,108078.92403879725
2020-05-01,2020-06-01,-0.016687540487207043,1.0627535261808603,106275.35261808605
2020-06-01,2020-07-01,-0.003926060706317653,1.058581091321221,105858.10913212213
2020-07-01,2020-08-01,-0.0038004058286891635,1.0545580535716237,105455.8053571624
2020-08-01,2020-09-01,0.0007831961053949661,1.0553839793320938,105538.39793320943
2020-09-01,2020-10-01,0.012860413716954008,1.0689566539365496,106895.66539365501
2020-10-01,2020-11-01,-0.005769356095676154,1.0627894623491472,106278.94623491477
2020-11-01,2020-12-01,0.01725281791284289,1.0811255754227451,108112.55754227456
